Breed,Energy,Grooming,Group,Shedding,Trainability
Scottish Terrier,,,,,
Sealyham Terrier,,,,,
Shetland Sheepdog,,,,,
Shiba Inu,,,,,
Shih Tzu,,,,,
Siberian Husky,,,,,
Silky Terrier,,,,,
Skye Terrier,,,,,
Small Munsterlander Pointer,,,,,
Soft Coated Wheaten Terrier,,,,,
Stabyhoun,,,,,
Staffordshire Bull Terrier,,,,,
Standard Schnauzer,,,,,
Sussex Spaniel,,,,,
Swedish Vallhund,,,,,
Tibetan Mastiff,,,,,
Tibetan Spaniel,,,,,
Tibetan Terrier,,,,,
Toy Fox Terrier,,,,,
Treeing Tennessee Brindle,,,,,
Treeing Walker Coonhound,,,,,
Vizsla,,,,,
Weimaraner,,,,,
Welsh Springer Spaniel,,,,,
Welsh Terrier,,,,,
Whippet,,,,,
Wirehaired Pointing Griffon,,,,,
Xoloitzcuintli,,,,,
Yorkshire Terrier,,,,,
