Energy,Grooming,Shedding,Trainability,Group,Breed
Energetic,Weekly Brushing,Seasonal,Eager to Please,Sporting Group,American Eskimo Dog
Energetic,Weekly Brushing,Seasonal,Eager to Please,Sporting Group,Australian Terrier
Energetic,Weekly Brushing,Seasonal,Eager to Please,Working Group,Staffordshire Bull Terrier
Energetic,Weekly Brushing,Seasonal,Independent,Terrier Group,Bluetick Coonhound
Energetic,Weekly Brushing,Seasonal,May be Stubborn,Non-Sporting Group,Toy Fox Terrier
Needs Lots of Activity,2-3 Times a Week Brushing,Occasional,Easy Training,Non-Sporting Group,Brittany
Needs Lots of Activity,2-3 Times a Week Brushing,Occasional,Independent,Sporting Group,Irish Setter
Needs Lots of Activity,2-3 Times a Week Brushing,Seasonal,Easy Training,Herding Group,Border Collie
Needs Lots of Activity,Daily Brushing,Occasional,Agreeable,Hound Group,Giant Schnauzer
Needs Lots of Activity,Needs Lots of Activity,Frequent,Agreeable,Non-Sporting Group,Catahoula Leopard Dog
Needs Lots of Activity,Occasional Bath/Brush,Infrequent,Independent,Terrier Group,Australian Cattle Dog
Needs Lots of Activity,Occasional Bath/Brush,Needs Lots of Activity,Infrequent,Miscellaneous Class,Doberman Pinscher
Needs Lots of Activity,Occasional Bath/Brush,Occasional,Eager to Please,Sporting Group,Ibizan Hound
Needs Lots of Activity,Occasional Bath/Brush,Occasional,Eager to Please,Sporting Group,Swedish Vallhund
Needs Lots of Activity,Occasional Bath/Brush,Regularly,Agreeable,Hound Group,Mudi
Needs Lots of Activity,Occasional Bath/Brush,Regularly,Agreeable,Working Group,Entlebucher Mountain Dog
Needs Lots of Activity,Occasional Bath/Brush,Regularly,Eager to Please,Working Group,Berger Picard
Needs Lots of Activity,Occasional Bath/Brush,Regularly,Easy Training,Sporting Group,Small Munsterlander Pointer
Needs Lots of Activity,Occasional Bath/Brush,Seasonal,Agreeable,Miscellaneous Class,German Pinscher
Needs Lots of Activity,Weekly Brushing,Daily Brushing,Easy Training,Working Group,Irish Water Spaniel
Needs Lots of Activity,Weekly Brushing,Infrequent,Independent,Herding Group,Dutch Shepherd
Needs Lots of Activity,Weekly Brushing,Occasional,Agreeable,Working Group,Gordon Setter
Needs Lots of Activity,Weekly Brushing,Occasional,Independent,Terrier Group,Labrador Retriever
Needs Lots of Activity,Weekly Brushing,Regularly,Agreeable,Non-Sporting Group,Golden Retriever
Needs Lots of Activity,Weekly Brushing,Regularly,Agreeable,Sporting Group,Finnish Spitz
Needs Lots of Activity,Weekly Brushing,Regularly,Eager to Please,Herding Group,Great Pyrenees
Needs Lots of Activity,Weekly Brushing,Regularly,Eager to Please,Sporting Group,German Wirehaired Pointer
Needs Lots of Activity,Weekly Brushing,Regularly,Eager to Please,Sporting Group,Harrier
Needs Lots of Activity,Weekly Brushing,Regularly,Eager to Please,Sporting Group,Irish Red And White Setter
Needs Lots of Activity,Weekly Brushing,Seasonal,Agreeable,Non-Sporting Group,German Shorthaired Pointer
Needs Lots of Activity,Weekly Brushing,Seasonal,Agreeable,Working Group,Wirehaired Pointing Griffon
Needs Lots of Activity,Weekly Brushing,Seasonal,Eager to Please,Herding Group,Flat Coated Retriever
Needs Lots of Activity,Weekly Brushing,Seasonal,Eager to Please,Sporting Group,Nova Scotia Duck Tolling Retriever
Needs Lots of Activity,Weekly Brushing,Seasonal,Independent,Sporting Group,Weimaraner
Needs Lots of Activity,Weekly Brushing,Seasonal,Independent,Toy Group,Appenzeller Sennenhunde
Occasional Bath/Brush,Occasional Bath/Brush,Seasonal,Agreeable,Working Group,Karelian Bear Dog
Occasional Bath/Brush,Occasional Bath/Brush,Seasonal,Independent,Working Group,Dogo Argentino
Regular Exercise,2-3 Times a Week Brushing,2-3 Times a Week Brushing,Agreeable,Sporting Group,Chow Chow
Regular Exercise,2-3 Times a Week Brushing,2-3 Times a Week Brushing,May be Stubborn,Terrier Group,Lhasa Apso
Regular Exercise,2-3 Times a Week Brushing,Calm,Seasonal,Foundation Stock Service,Keeshond
Regular Exercise,2-3 Times a Week Brushing,Daily Brushing,Eager to Please,Working Group,Standard Schnauzer
Regular Exercise,2-3 Times a Week Brushing,Infrequent,Independent,Non-Sporting Group,Sussex Spaniel
Regular Exercise,2-3 Times a Week Brushing,Occasional,Agreeable,Non-Sporting Group,Tibetan Mastiff
Regular Exercise,2-3 Times a Week Brushing,Occasional,Easy Training,Hound Group,Airedale Terrier
Regular Exercise,2-3 Times a Week Brushing,Occasional,Easy Training,Toy Group,American Water Spaniel
Regular Exercise,2-3 Times a Week Brushing,Occasional,Independent,Hound Group,Affenpinscher
Regular Exercise,2-3 Times a Week Brushing,Occasional,Independent,Hound Group,Boykin Spaniel
Regular Exercise,2-3 Times a Week Brushing,Occasional Bath/Brush,Agreeable,Terrier Group,Collie
Regular Exercise,2-3 Times a Week Brushing,Occasional Bath/Brush,Easy Training,Miscellaneous Class,Silky Terrier
Regular Exercise,2-3 Times a Week Brushing,Seasonal,Eager to Please,Herding Group,Brussels Griffon
Regular Exercise,2-3 Times a Week Brushing,Seasonal,Eager to Please,Sporting Group,Pomeranian
Regular Exercise,2-3 Times a Week Brushing,Seasonal,Easy Training,Non-Sporting Group,Kerry Blue Terrier
Regular Exercise,2-3 Times a Week Brushing,Seasonal,Independent,Hound Group,English Toy Spaniel
Regular Exercise,2-3 Times a Week Brushing,Seasonal,Independent,Toy Group,Glen Of Imaal Terrier
Regular Exercise,2-3 Times a Week Brushing,Seasonal,Independent,Toy Group,Havanese
Regular Exercise,2-3 Times a Week Brushing,Specialty/Professional,Independent,Working Group,Old English Sheepdog
Regular Exercise,2-3 Times a Week Brushing,Weekly Brushing,Agreeable,Terrier Group,Shetland Sheepdog
Regular Exercise,2-3 Times a Week Brushing,Weekly Brushing,Eager to Please,Sporting Group,Sealyham Terrier
Regular Exercise,2-3 Times a Week Brushing,Weekly Brushing,Easy Training,Sporting Group,Bulldog
Regular Exercise,2-3 Times a Week Brushing,Weekly Brushing,Easy Training,Sporting Group,English Cocker Spaniel
Regular Exercise,2-3 Times a Week Brushing,Weekly Brushing,Independent,Working Group,Scottish Terrier
Regular Exercise,Daily Brushing,Infrequent,Agreeable,Toy Group,Bearded Collie
Regular Exercise,Daily Brushing,Occasional,Eager to Please,Miscellaneous Class,Leonberger
Regular Exercise,Daily Brushing,Occasional,Easy Training,Terrier Group,Briard
Regular Exercise,Daily Brushing,Occasional Bath/Brush,Agreeable,Working Group,Cocker Spaniel
Regular Exercise,Daily Brushing,Occasional Bath/Brush,Independent,Toy Group,Coton De Tulear
Regular Exercise,Daily Brushing,Specialty/Professional,Eager to Please,Terrier Group,Dandie Dinmont Terrier
Regular Exercise,Daily Brushing,Weekly Brushing,Agreeable,Terrier Group,Skye Terrier
Regular Exercise,Daily Brushing,Weekly Brushing,Easy Training,Working Group,Shih Tzu
Regular Exercise,Daily Brushing,Weekly Brushing,May be Stubborn,Working Group,Maltese
Regular Exercise,Occasional Bath/Brush,Occasional,Agreeable,Hound Group,Chihuahua
Regular Exercise,Occasional Bath/Brush,Occasional,Independent,Hound Group,Scottish Deerhound
Regular Exercise,Occasional Bath/Brush,Occasional,Independent,Hound Group,Whippet
Regular Exercise,Occasional Bath/Brush,Occasional,May be Stubborn,Hound Group,Italian Greyhound
Regular Exercise,Occasional Bath/Brush,Regularly,Agreeable,Herding Group,Rottweiler
Regular Exercise,Occasional Bath/Brush,Seasonal,Agreeable,Non-Sporting Group,Chinese Crested
Regular Exercise,Occasional Bath/Brush,Seasonal,Eager to Please,Toy Group,Mastiff
Regular Exercise,Occasional Bath/Brush,Seasonal,Easy Training,Herding Group,American Staffordshire Terrier
Regular Exercise,Occasional Bath/Brush,Seasonal,Independent,Herding Group,Irish Terrier
Regular Exercise,Occasional Bath/Brush,Seasonal,Independent,Hound Group,Treeing Walker Coonhound
Regular Exercise,Occasional Bath/Brush,Seasonal,May be Stubborn,Toy Group,Miniature Pinscher
Regular Exercise,Occasional Bath/Brush,Weekly Brushing,Agreeable,Terrier Group,Chinese Shar Pei
Regular Exercise,Occasional Bath/Brush,Weekly Brushing,Easy Training,Sporting Group,Dogue De Bordeaux
Regular Exercise,Specialty/Professional,Infrequent,Eager to Please,Non-Sporting Group,Poodle
Regular Exercise,Specialty/Professional,Occasional,Agreeable,Sporting Group,Bichon Frise
Regular Exercise,Specialty/Professional,Regularly,Agreeable,Toy Group,Yorkshire Terrier
Regular Exercise,Specialty/Professional,Seasonal,Agreeable,Toy Group,Miniature Schnauzer
Regular Exercise,Specialty/Professional,Seasonal,Easy Training,Working Group,Puli
Regular Exercise,Specialty/Professional,Seasonal,May be Stubborn,Herding Group,Komondor
Regular Exercise,Weekly Brushing,Infrequent,Agreeable,Non-Sporting Group,Shiba Inu
Regular Exercise,Weekly Brushing,Infrequent,Agreeable,Toy Group,Finnish Lapphund
Regular Exercise,Weekly Brushing,Infrequent,Independent,Herding Group,Anatolian Shepherd Dog
Regular Exercise,Weekly Brushing,Infrequent,Independent,Terrier Group,Kuvasz
Regular Exercise,Weekly Brushing,Infrequent,Independent,Working Group,Manchester Terrier
Regular Exercise,Weekly Brushing,Occasional,Agreeable,Terrier Group,Redbone Coonhound
Regular Exercise,Weekly Brushing,Occasional,Agreeable,Toy Group,Irish Wolfhound
Regular Exercise,Weekly Brushing,Occasional,Agreeable,Working Group,Border Terrier
Regular Exercise,Weekly Brushing,Occasional,Eager to Please,Toy Group,Norwich Terrier
Regular Exercise,Weekly Brushing,Occasional,Independent,Hound Group,Boston Terrier
Regular Exercise,Weekly Brushing,Occasional,Independent,Hound Group,Rhodesian Ridgeback
Regular Exercise,Weekly Brushing,Occasional,Independent,Terrier Group,Clumber Spaniel
Regular Exercise,Weekly Brushing,Occasional,May be Stubborn,Terrier Group,Lowchen
Regular Exercise,Weekly Brushing,Regular Exercise,Occasional,Foundation Stock Service,Otterhound
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Foundation Stock Service,Kooikerhondje
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Herding Group,Azawakh
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Hound Group,Bloodhound
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Non-Sporting Group,Norwegian Elkhound
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Sporting Group,Schipperke
Regular Exercise,Weekly Brushing,Seasonal,Eager to Please,Herding Group,English Springer Spaniel
Regular Exercise,Weekly Brushing,Seasonal,Eager to Please,Herding Group,Newfoundland
Regular Exercise,Weekly Brushing,Seasonal,Eager to Please,Sporting Group,Pug
Regular Exercise,Weekly Brushing,Seasonal,Eager to Please,Sporting Group,Pyrenean Shepherd
Regular Exercise,Weekly Brushing,Seasonal,Easy Training,Foundation Stock Service,Lakeland Terrier
Regular Exercise,Weekly Brushing,Seasonal,Easy Training,Hound Group,Black And Tan Coonhound
Regular Exercise,Weekly Brushing,Seasonal,Easy Training,Terrier Group,Barbet
Regular Exercise,Weekly Brushing,Seasonal,Independent,Hound Group,Cesky Terrier
Regular Exercise,Weekly Brushing,Seasonal,Independent,Hound Group,Papillon
Regular Exercise,Weekly Brushing,Seasonal,Independent,Non-Sporting Group,Canaan Dog
Regular Exercise,Weekly Brushing,Seasonal,Independent,Non-Sporting Group,Field Spaniel
Regular Exercise,Weekly Brushing,Seasonal,Independent,Non-Sporting Group,Norwegian Lundehund
Regular Exercise,Weekly Brushing,Seasonal,Independent,Sporting Group,Neapolitan Mastiff
Regular Exercise,Weekly Brushing,Seasonal,Independent,Terrier Group,Dachshund
Regular Exercise,Weekly Brushing,Seasonal,Independent,Terrier Group,Japanese Chin
Regular Exercise,Weekly Brushing,Seasonal,Independent,Working Group,Cairn Terrier
Regular Exercise,Weekly Brushing,Seasonal,Independent,Working Group,German Shepherd Dog
Regular Exercise,Weekly Brushing,Seasonal,Independent,Working Group,Norfolk Terrier
Regular Exercise,Weekly Brushing,Weekly Brushing,Easy Training,Sporting Group,Rat Terrier
Weekly Brushing,Weekly Brushing,Infrequent,May be Stubborn,Toy Group,Treeing Tennessee Brindle
